name,opponent_team_name,is_home,season,gameweek,team_name,position,y,y_Naive,y_LGBMRegressor_no_exog,y_LGBMRegressor_with_exog,y_LSTMWithReLU
Jakub Kiwior,Manchester Utd,True,24,4,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Manchester Utd,True,24,4,Arsenal,MID,1.0,,,,
Jurriën Timber,Manchester Utd,True,24,4,Arsenal,DEF,0.0,,,,
Kai Havertz,Manchester Utd,True,24,4,Arsenal,MID,2.0,,,,
Karl Hein,Manchester Utd,True,24,4,Arsenal,GK,0.0,,,,
Kieran Tierney,Manchester Utd,True,24,4,Arsenal,DEF,0.0,,,,
Leandro Trossard,Manchester Utd,True,24,4,Arsenal,MID,0.0,,,,
Martin Ødegaard,Manchester Utd,True,24,4,Arsenal,MID,7.0,,,,
Oleksandr Zinchenko,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
Reiss Nelson,Manchester Utd,True,24,4,Arsenal,MID,1.0,,,,
Thomas Partey,Manchester Utd,True,24,4,Arsenal,MID,0.0,,,,
William Saliba,Manchester Utd,True,24,4,Arsenal,DEF,2.0,,,,
Aaron Ramsdale,Everton,False,24,5,Arsenal,GK,0.0,,,,
Benjamin White,Everton,False,24,5,Arsenal,DEF,7.0,,,,
Bukayo Saka,Everton,False,24,5,Arsenal,MID,6.0,,,,
David Raya Martin,Everton,False,24,5,Arsenal,GK,8.0,,,,
Declan Rice,Everton,False,24,5,Arsenal,MID,3.0,,,,
Eddie Nketiah,Everton,False,24,5,Arsenal,FWD,2.0,,,,
Fábio Ferreira Vieira,Everton,False,24,5,Arsenal,MID,3.0,,,,
Gabriel Fernando de Jesus,Everton,False,24,5,Arsenal,FWD,1.0,,,,
Gabriel Martinelli Silva,Everton,False,24,5,Arsenal,MID,1.0,,,,
Gabriel dos Santos Magalhães,Everton,False,24,5,Arsenal,DEF,5.0,,,,
Jakub Kiwior,Everton,False,24,5,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Everton,False,24,5,Arsenal,MID,0.0,,,,
Jurriën Timber,Everton,False,24,5,Arsenal,DEF,0.0,,,,
Kai Havertz,Everton,False,24,5,Arsenal,MID,1.0,,,,
Karl Hein,Everton,False,24,5,Arsenal,GK,0.0,,,,
Kieran Tierney,Everton,False,24,5,Arsenal,DEF,0.0,,,,
Leandro Trossard,Everton,False,24,5,Arsenal,MID,11.0,,,,
Martin Ødegaard,Everton,False,24,5,Arsenal,MID,3.0,,,,
Oleksandr Zinchenko,Everton,False,24,5,Arsenal,DEF,7.0,,,,
Reiss Nelson,Everton,False,24,5,Arsenal,MID,0.0,,,,
Thomas Partey,Everton,False,24,5,Arsenal,MID,0.0,,,,
William Saliba,Everton,False,24,5,Arsenal,DEF,6.0,,,,
Aaron Ramsdale,Tottenham,True,24,6,Arsenal,GK,0.0,,,,
Benjamin White,Tottenham,True,24,6,Arsenal,DEF,4.0,,,,
Bukayo Saka,Tottenham,True,24,6,Arsenal,MID,13.0,,,,
David Raya Martin,Tottenham,True,24,6,Arsenal,GK,2.0,,,,
Declan Rice,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Eddie Nketiah,Tottenham,True,24,6,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Gabriel Fernando de Jesus,Tottenham,True,24,6,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Tottenham,True,24,6,Arsenal,MID,0.0,,,,
Gabriel dos Santos Magalhães,Tottenham,True,24,6,Arsenal,DEF,1.0,,,,
Jakub Kiwior,Tottenham,True,24,6,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Jurriën Timber,Tottenham,True,24,6,Arsenal,DEF,0.0,,,,
Kai Havertz,Tottenham,True,24,6,Arsenal,MID,0.0,,,,
Karl Hein,Tottenham,True,24,6,Arsenal,GK,0.0,,,,
Kieran Tierney,Tottenham,True,24,6,Arsenal,DEF,0.0,,,,
Leandro Trossard,Tottenham,True,24,6,Arsenal,MID,0.0,,,,
Martin Ødegaard,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Oleksandr Zinchenko,Tottenham,True,24,6,Arsenal,DEF,1.0,,,,
Reiss Nelson,Tottenham,True,24,6,Arsenal,MID,1.0,,,,
Thomas Partey,Tottenham,True,24,6,Arsenal,MID,0.0,,,,
William Saliba,Tottenham,True,24,6,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Bournemouth,False,24,7,Arsenal,GK,0.0,,,,
Benjamin White,Bournemouth,False,24,7,Arsenal,DEF,14.0,,,,
Bukayo Saka,Bournemouth,False,24,7,Arsenal,MID,9.0,,,,
David Raya Martin,Bournemouth,False,24,7,Arsenal,GK,6.0,,,,
Declan Rice,Bournemouth,False,24,7,Arsenal,MID,3.0,,,,
Eddie Nketiah,Bournemouth,False,24,7,Arsenal,FWD,5.0,,,,
Fábio Ferreira Vieira,Bournemouth,False,24,7,Arsenal,MID,1.0,,,,
Gabriel Fernando de Jesus,Bournemouth,False,24,7,Arsenal,FWD,5.0,,,,
Gabriel Martinelli Silva,Bournemouth,False,24,7,Arsenal,MID,0.0,,,,
Gabriel dos Santos Magalhães,Bournemouth,False,24,7,Arsenal,DEF,6.0,,,,
Jakub Kiwior,Bournemouth,False,24,7,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Bournemouth,False,24,7,Arsenal,MID,1.0,,,,
Jurriën Timber,Bournemouth,False,24,7,Arsenal,DEF,0.0,,,,
Kai Havertz,Bournemouth,False,24,7,Arsenal,MID,7.0,,,,
Karl Hein,Bournemouth,False,24,7,Arsenal,GK,0.0,,,,
Kieran Tierney,Bournemouth,False,24,7,Arsenal,DEF,0.0,,,,
Leandro Trossard,Bournemouth,False,24,7,Arsenal,MID,0.0,,,,
Martin Ødegaard,Bournemouth,False,24,7,Arsenal,MID,17.0,,,,
Oleksandr Zinchenko,Bournemouth,False,24,7,Arsenal,DEF,6.0,,,,
Reiss Nelson,Bournemouth,False,24,7,Arsenal,MID,1.0,,,,
Thomas Partey,Bournemouth,False,24,7,Arsenal,MID,0.0,,,,
William Saliba,Bournemouth,False,24,7,Arsenal,DEF,6.0,,,,
Aaron Ramsdale,Manchester City,True,24,8,Arsenal,GK,0.0,,,,
Benjamin White,Manchester City,True,24,8,Arsenal,DEF,9.0,,,,
Bukayo Saka,Manchester City,True,24,8,Arsenal,MID,0.0,,,,
David Raya Martin,Manchester City,True,24,8,Arsenal,GK,6.0,,,,
Declan Rice,Manchester City,True,24,8,Arsenal,MID,3.0,,,,
Eddie Nketiah,Manchester City,True,24,8,Arsenal,FWD,2.0,,,,
Fábio Ferreira Vieira,Manchester City,True,24,8,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Manchester City,True,24,8,Arsenal,FWD,1.0,,,,
Gabriel Martinelli Silva,Manchester City,True,24,8,Arsenal,MID,6.0,,,,
Gabriel dos Santos Magalhães,Manchester City,True,24,8,Arsenal,DEF,8.0,,,,
Jakub Kiwior,Manchester City,True,24,8,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Manchester City,True,24,8,Arsenal,MID,2.0,,,,
Jurriën Timber,Manchester City,True,24,8,Arsenal,DEF,0.0,,,,
Kai Havertz,Manchester City,True,24,8,Arsenal,MID,4.0,,,,
Karl Hein,Manchester City,True,24,8,Arsenal,GK,0.0,,,,
Kieran Tierney,Manchester City,True,24,8,Arsenal,DEF,0.0,,,,
Leandro Trossard,Manchester City,True,24,8,Arsenal,MID,1.0,,,,
Martin Ødegaard,Manchester City,True,24,8,Arsenal,MID,3.0,,,,
Oleksandr Zinchenko,Manchester City,True,24,8,Arsenal,DEF,7.0,,,,
Reiss Nelson,Manchester City,True,24,8,Arsenal,MID,0.0,,,,
Thomas Partey,Manchester City,True,24,8,Arsenal,MID,1.0,,,,
William Saliba,Manchester City,True,24,8,Arsenal,DEF,7.0,,,,
Aaron Ramsdale,Chelsea,False,24,9,Arsenal,GK,0.0,,,,
Benjamin White,Chelsea,False,24,9,Arsenal,DEF,0.0,,,,
Bukayo Saka,Chelsea,False,24,9,Arsenal,MID,5.0,,,,
David Raya Martin,Chelsea,False,24,9,Arsenal,GK,2.0,,,,
Declan Rice,Chelsea,False,24,9,Arsenal,MID,9.0,,,,
Eddie Nketiah,Chelsea,False,24,9,Arsenal,FWD,0.0,,,,
Fábio Ferreira Vieira,Chelsea,False,24,9,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Chelsea,False,24,9,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Chelsea,False,24,9,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Chelsea,False,24,9,Arsenal,DEF,1.0,,,,
Jakub Kiwior,Chelsea,False,24,9,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Chelsea,False,24,9,Arsenal,MID,2.0,,,,
Jurriën Timber,Chelsea,False,24,9,Arsenal,DEF,0.0,,,,
Kai Havertz,Chelsea,False,24,9,Arsenal,MID,1.0,,,,
Karl Hein,Chelsea,False,24,9,Arsenal,GK,0.0,,,,
Kieran Tierney,Chelsea,False,24,9,Arsenal,DEF,0.0,,,,
Leandro Trossard,Chelsea,False,24,9,Arsenal,MID,6.0,,,,
Martin Ødegaard,Chelsea,False,24,9,Arsenal,MID,2.0,,,,
Oleksandr Zinchenko,Chelsea,False,24,9,Arsenal,DEF,0.0,,,,
Reiss Nelson,Chelsea,False,24,9,Arsenal,MID,0.0,,,,
Thomas Partey,Chelsea,False,24,9,Arsenal,MID,0.0,,,,
William Saliba,Chelsea,False,24,9,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Sheffield Utd,True,24,10,Arsenal,GK,0.0,,,,
Benjamin White,Sheffield Utd,True,24,10,Arsenal,DEF,6.0,,,,
Bukayo Saka,Sheffield Utd,True,24,10,Arsenal,MID,6.0,,,,
David Raya Martin,Sheffield Utd,True,24,10,Arsenal,GK,6.0,,,,
Declan Rice,Sheffield Utd,True,24,10,Arsenal,MID,6.0,,,,
Eddie Nketiah,Sheffield Utd,True,24,10,Arsenal,FWD,17.0,,,,
Fábio Ferreira Vieira,Sheffield Utd,True,24,10,Arsenal,MID,6.0,,,,
Gabriel Fernando de Jesus,Sheffield Utd,True,24,10,Arsenal,FWD,0.0,,,,
Gabriel Martinelli Silva,Sheffield Utd,True,24,10,Arsenal,MID,3.0,,,,
Gabriel dos Santos Magalhães,Sheffield Utd,True,24,10,Arsenal,DEF,0.0,,,,
Jakub Kiwior,Sheffield Utd,True,24,10,Arsenal,DEF,6.0,,,,
Jorge Luiz Frello Filho,Sheffield Utd,True,24,10,Arsenal,MID,0.0,,,,
Jurriën Timber,Sheffield Utd,True,24,10,Arsenal,DEF,0.0,,,,
Kai Havertz,Sheffield Utd,True,24,10,Arsenal,MID,3.0,,,,
Karl Hein,Sheffield Utd,True,24,10,Arsenal,GK,0.0,,,,
Kieran Tierney,Sheffield Utd,True,24,10,Arsenal,DEF,0.0,,,,
Leandro Trossard,Sheffield Utd,True,24,10,Arsenal,MID,1.0,,,,
Martin Ødegaard,Sheffield Utd,True,24,10,Arsenal,MID,0.0,,,,
Oleksandr Zinchenko,Sheffield Utd,True,24,10,Arsenal,DEF,8.0,,,,
Reiss Nelson,Sheffield Utd,True,24,10,Arsenal,MID,1.0,,,,
Thomas Partey,Sheffield Utd,True,24,10,Arsenal,MID,0.0,,,,
William Saliba,Sheffield Utd,True,24,10,Arsenal,DEF,7.0,,,,
Aaron Ramsdale,Newcastle,False,24,11,Arsenal,GK,0.0,,,,
Benjamin White,Newcastle,False,24,11,Arsenal,DEF,2.0,,,,
Bukayo Saka,Newcastle,False,24,11,Arsenal,MID,2.0,,,,
David Raya Martin,Newcastle,False,24,11,Arsenal,GK,2.0,,,,
Declan Rice,Newcastle,False,24,11,Arsenal,MID,2.0,,,,
Eddie Nketiah,Newcastle,False,24,11,Arsenal,FWD,2.0,,,,
Fábio Ferreira Vieira,Newcastle,False,24,11,Arsenal,MID,1.0,,,,
Gabriel Fernando de Jesus,Newcastle,False,24,11,Arsenal,FWD,0.0,,,,
Gabriel Martinelli Silva,Newcastle,False,24,11,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Newcastle,False,24,11,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Newcastle,False,24,11,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Newcastle,False,24,11,Arsenal,MID,2.0,,,,
Jurriën Timber,Newcastle,False,24,11,Arsenal,DEF,0.0,,,,
Kai Havertz,Newcastle,False,24,11,Arsenal,MID,1.0,,,,
Karl Hein,Newcastle,False,24,11,Arsenal,GK,0.0,,,,
Kieran Tierney,Newcastle,False,24,11,Arsenal,DEF,0.0,,,,
Leandro Trossard,Newcastle,False,24,11,Arsenal,MID,1.0,,,,
Martin Ødegaard,Newcastle,False,24,11,Arsenal,MID,0.0,,,,
Oleksandr Zinchenko,Newcastle,False,24,11,Arsenal,DEF,1.0,,,,
Reiss Nelson,Newcastle,False,24,11,Arsenal,MID,0.0,,,,
Thomas Partey,Newcastle,False,24,11,Arsenal,MID,0.0,,,,
William Saliba,Newcastle,False,24,11,Arsenal,DEF,2.0,,,,
Aaron Ramsdale,Burnley,True,24,12,Arsenal,GK,0.0,,,,
Benjamin White,Burnley,True,24,12,Arsenal,DEF,0.0,,,,
Bukayo Saka,Burnley,True,24,12,Arsenal,MID,5.0,,,,
David Raya Martin,Burnley,True,24,12,Arsenal,GK,3.0,,,,
Declan Rice,Burnley,True,24,12,Arsenal,MID,2.0,,,,
Eddie Nketiah,Burnley,True,24,12,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Burnley,True,24,12,Arsenal,MID,-2.0,,,,
Gabriel Fernando de Jesus,Burnley,True,24,12,Arsenal,FWD,0.0,,,,
Gabriel Martinelli Silva,Burnley,True,24,12,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Burnley,True,24,12,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Burnley,True,24,12,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Burnley,True,24,12,Arsenal,MID,2.0,,,,
Jurriën Timber,Burnley,True,24,12,Arsenal,DEF,0.0,,,,
Kai Havertz,Burnley,True,24,12,Arsenal,MID,1.0,,,,
Karl Hein,Burnley,True,24,12,Arsenal,GK,0.0,,,,
Kieran Tierney,Burnley,True,24,12,Arsenal,DEF,0.0,,,,
Leandro Trossard,Burnley,True,24,12,Arsenal,MID,13.0,,,,
Martin Ødegaard,Burnley,True,24,12,Arsenal,MID,0.0,,,,
Oleksandr Zinchenko,Burnley,True,24,12,Arsenal,DEF,10.0,,,,
Reiss Nelson,Burnley,True,24,12,Arsenal,MID,1.0,,,,
Thomas Partey,Burnley,True,24,12,Arsenal,MID,0.0,,,,
William Saliba,Burnley,True,24,12,Arsenal,DEF,9.0,,,,
Aaron Ramsdale,Brentford,False,24,13,Arsenal,GK,6.0,,,,
Benjamin White,Brentford,False,24,13,Arsenal,DEF,1.0,,,,
Bukayo Saka,Brentford,False,24,13,Arsenal,MID,8.0,,,,
David Raya Martin,Brentford,False,24,13,Arsenal,GK,0.0,,,,
Declan Rice,Brentford,False,24,13,Arsenal,MID,3.0,,,,
Eddie Nketiah,Brentford,False,24,13,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Brentford,False,24,13,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Brentford,False,24,13,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Brentford,False,24,13,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Brentford,False,24,13,Arsenal,DEF,6.0,,,,
Jakub Kiwior,Brentford,False,24,13,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Brentford,False,24,13,Arsenal,MID,1.0,,,,
Jurriën Timber,Brentford,False,24,13,Arsenal,DEF,0.0,,,,
Kai Havertz,Brentford,False,24,13,Arsenal,MID,6.0,,,,
Karl Hein,Brentford,False,24,13,Arsenal,GK,0.0,,,,
Kieran Tierney,Brentford,False,24,13,Arsenal,DEF,0.0,,,,
Leandro Trossard,Brentford,False,24,13,Arsenal,MID,3.0,,,,
Martin Ødegaard,Brentford,False,24,13,Arsenal,MID,3.0,,,,
Oleksandr Zinchenko,Brentford,False,24,13,Arsenal,DEF,9.0,,,,
Reiss Nelson,Brentford,False,24,13,Arsenal,MID,0.0,,,,
Thomas Partey,Brentford,False,24,13,Arsenal,MID,0.0,,,,
William Saliba,Brentford,False,24,13,Arsenal,DEF,6.0,,,,
Aaron Ramsdale,Wolves,True,24,14,Arsenal,GK,0.0,,,,
Benjamin White,Wolves,True,24,14,Arsenal,DEF,1.0,,,,
Bukayo Saka,Wolves,True,24,14,Arsenal,MID,8.0,,,,
David Raya Martin,Wolves,True,24,14,Arsenal,GK,2.0,,,,
Declan Rice,Wolves,True,24,14,Arsenal,MID,2.0,,,,
Eddie Nketiah,Wolves,True,24,14,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Wolves,True,24,14,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Wolves,True,24,14,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Wolves,True,24,14,Arsenal,MID,3.0,,,,
Gabriel dos Santos Magalhães,Wolves,True,24,14,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Wolves,True,24,14,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Wolves,True,24,14,Arsenal,MID,1.0,,,,
Jurriën Timber,Wolves,True,24,14,Arsenal,DEF,0.0,,,,
Kai Havertz,Wolves,True,24,14,Arsenal,MID,1.0,,,,
Karl Hein,Wolves,True,24,14,Arsenal,GK,0.0,,,,
Kieran Tierney,Wolves,True,24,14,Arsenal,DEF,0.0,,,,
Leandro Trossard,Wolves,True,24,14,Arsenal,MID,2.0,,,,
Martin Ødegaard,Wolves,True,24,14,Arsenal,MID,10.0,,,,
Oleksandr Zinchenko,Wolves,True,24,14,Arsenal,DEF,5.0,,,,
Reiss Nelson,Wolves,True,24,14,Arsenal,MID,0.0,,,,
Thomas Partey,Wolves,True,24,14,Arsenal,MID,0.0,,,,
William Saliba,Wolves,True,24,14,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Luton,False,24,15,Arsenal,GK,0.0,,,,
Benjamin White,Luton,False,24,15,Arsenal,DEF,4.0,,,,
Bukayo Saka,Luton,False,24,15,Arsenal,MID,5.0,,,,
David Raya Martin,Luton,False,24,15,Arsenal,GK,1.0,,,,
Declan Rice,Luton,False,24,15,Arsenal,MID,9.0,,,,
Eddie Nketiah,Luton,False,24,15,Arsenal,FWD,0.0,,,,
Fábio Ferreira Vieira,Luton,False,24,15,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Luton,False,24,15,Arsenal,FWD,11.0,,,,
Gabriel Martinelli Silva,Luton,False,24,15,Arsenal,MID,7.0,,,,
Gabriel dos Santos Magalhães,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Jakub Kiwior,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Jorge Luiz Frello Filho,Luton,False,24,15,Arsenal,MID,0.0,,,,
Jurriën Timber,Luton,False,24,15,Arsenal,DEF,0.0,,,,
Kai Havertz,Luton,False,24,15,Arsenal,MID,7.0,,,,
Karl Hein,Luton,False,24,15,Arsenal,GK,0.0,,,,
Kieran Tierney,Luton,False,24,15,Arsenal,DEF,0.0,,,,
Leandro Trossard,Luton,False,24,15,Arsenal,MID,1.0,,,,
Martin Ødegaard,Luton,False,24,15,Arsenal,MID,5.0,,,,
Oleksandr Zinchenko,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Reiss Nelson,Luton,False,24,15,Arsenal,MID,0.0,,,,
Thomas Partey,Luton,False,24,15,Arsenal,MID,0.0,,,,
William Saliba,Luton,False,24,15,Arsenal,DEF,1.0,,,,
Aaron Ramsdale,Aston Villa,False,24,16,Arsenal,GK,0.0,,,,
Benjamin White,Aston Villa,False,24,16,Arsenal,DEF,2.0,,,,
Bukayo Saka,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
David Raya Martin,Aston Villa,False,24,16,Arsenal,GK,2.0,,,,
Declan Rice,Aston Villa,False,24,16,Arsenal,MID,1.0,,,,
Eddie Nketiah,Aston Villa,False,24,16,Arsenal,FWD,1.0,,,,
Fábio Ferreira Vieira,Aston Villa,False,24,16,Arsenal,MID,0.0,,,,
Gabriel Fernando de Jesus,Aston Villa,False,24,16,Arsenal,FWD,2.0,,,,
Gabriel Martinelli Silva,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
Gabriel dos Santos Magalhães,Aston Villa,False,24,16,Arsenal,DEF,2.0,,,,
Jakub Kiwior,Aston Villa,False,24,16,Arsenal,DEF,0.0,,,,
Jorge Luiz Frello Filho,Aston Villa,False,24,16,Arsenal,MID,0.0,,,,
Jurriën Timber,Aston Villa,False,24,16,Arsenal,DEF,0.0,,,,
Kai Havertz,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
Karl Hein,Aston Villa,False,24,16,Arsenal,GK,0.0,,,,
Kieran Tierney,Aston Villa,False,24,16,Arsenal,DEF,0.0,,,,
Leandro Trossard,Aston Villa,False,24,16,Arsenal,MID,1.0,,,,
Martin Ødegaard,Aston Villa,False,24,16,Arsenal,MID,2.0,,,,
Oleksandr Zinchenko,Aston Villa,False,24,16,Arsenal,DEF,1.0,,,,
